dimensao,alfa_ideal,beta_ideal,n_iteracoes
20,0.87,3.62,88
21,0.87,3.62,78
22,0.87,3.62,64
23,0.87,3.62,92
24,0.87,3.62,57
25,0.87,3.62,70
26,0.87,3.62,88
27,0.87,3.62,68
28,0.87,3.62,72
29,0.87,3.62,60
30,0.87,3.62,60
31,0.87,3.62,73
32,0.87,3.62,85
33,0.87,3.62,89
34,1.22,4.19,73
35,1.47,4.42,52
36,1.44,3.96,71
37,1.44,3.96,51
38,1.31,4.33,73
39,1.31,4.33,93
40,1.22,4.3,79
41,1.22,4.3,87
42,1.16,3.84,51
43,1.16,3.84,70
44,1.04,3.68,82
45,1.35,3.45,61
46,1.64,3.82,71
47,1.62,3.82,93
48,1.01,3.92,74
49,0.93,3.88,98
50,1.28,3.59,76
51,1.28,3.59,91
52,1.58,3.35,77
53,1.64,3.4,65
54,1.81,3.71,64
55,1.62,4.28,96
56,1.74,3.12,93
57,2.0,2.83,52
58,1.95,3.14,86
59,1.61,3.72,56
60,1.66,3.01,70
61,0.88,3.7,58
62,1.27,3.78,88
63,1.67,4.48,67
64,1.5,3.19,53
65,1.5,3.19,74
66,2.01,2.98,63
67,2.08,3.11,99
68,1.68,3.27,58
69,1.74,3.69,75
70,1.41,3.57,51
71,1.18,2.74,69
72,1.45,2.56,77
73,1.82,2.78,96
74,2.28,3.06,56
75,1.74,3.45,93
76,1.18,3.29,57
77,1.4,3.91,96
78,1.38,3.12,84
79,1.05,4.51,63
80,1.01,3.55,66
81,0.8,3.73,85
82,1.1,2.19,99
83,1.29,2.44,89
84,1.33,3.23,53
85,1.38,3.12,51
86,1.41,3.13,55
87,2.11,3.13,91
88,2.06,3.35,53
89,1.22,3.96,78
90,1.75,4.24,67
91,0.97,2.98,75
92,1.19,3.13,93
93,1.49,4.36,83
94,1.34,3.69,59
95,1.56,3.26,85
96,2.19,4.53,63
97,2.4,4.46,80
98,2.38,4.54,97
99,2.3,3.57,64
100,1.24,3.49,57
101,0.89,2.52,63
102,1.55,2.98,72
103,1.83,3.15,89
104,1.02,3.04,70
105,1.61,3.91,65
106,1.53,3.37,94
107,1.76,3.32,67
108,2.2,2.82,96
109,1.59,2.69,73
110,1.56,2.79,75
111,1.48,4.12,74
112,1.51,4.14,94
113,1.97,2.95,90
114,1.42,2.77,78
115,1.63,2.46,64
116,1.58,2.51,94
117,1.34,2.91,50
118,1.14,3.14,74
119,0.72,3.58,56
120,0.81,2.97,58
121,0.82,2.97,73
122,1.39,2.81,50
